user_id,timestamp,dwell_mean,dwell_std,dwell_cv,flight_mean,flight_std,flight_cv,timing_entropy,total_duration,wpm,dg_th,dg_he,dg_qu,dg_br,dg_ow,dg_fo,dg_ju,dg_ov,dg_er,dg_la,dg_sp,tg_the,tg_bro,tg_own,tg_ove,tg_ver,kd_e,kd_o,kd_t,kd_h,kd_r,kd_u,kd_space,backspace_rate
user2,2026-02-24T20:30:51.289082,120.42,29.82,0.2476,241.82,136.06,0.5626,1.7922,10156.35,41.35,400.58,153.42,250.38,164.11,276.02,197.18,197.36,291.08,177.71,202.11,256.95,554.01,367.91,457.59,418.06,304.69,156.59,114.5,112.36,98.31,126.79,91.83,105.96,0.0
user2,2026-02-24T20:31:05.957495,124.2,26.31,0.2118,273.89,158.74,0.5796,2.0383,11503.21,36.51,204.23,224.41,354.11,168.38,262.82,203.01,748.76,282.17,152.54,272.47,181.31,428.63,376.87,427.7,407.82,278.19,149.2,117.37,120.47,112.16,116.93,96.41,116.01,0.0
user2,2026-02-24T20:38:48.286097,118.82,24.45,0.2057,261.67,129.19,0.4937,2.3583,10989.98,38.22,212.48,190.73,196.57,171.24,216.17,214.11,190.78,337.65,287.96,208.57,175.07,403.21,413.48,440.46,828.53,778.84,127.68,115.96,93.81,117.85,125.96,82.21,120.05,0.0
user2,2026-02-27T19:07:43.723771,133.0,26.93,0.2024,295.6,163.33,0.5525,2.1642,12415.41,33.83,231.31,405.37,216.49,196.91,249.63,217.44,208.33,310.25,217.16,233.71,220.4,636.68,393.9,380.41,502.21,409.12,164.13,111.25,85.2,148.17,128.43,90.9,127.65,0.0
user2,2026-02-27T19:08:07.005344,138.75,29.64,0.2136,275.62,128.07,0.4647,2.1553,11575.94,36.28,232.07,206.57,232.21,210.27,350.63,274.85,209.76,344.72,163.23,251.37,233.74,438.64,422.73,536.73,508.0,326.51,182.28,133.66,107.37,170.42,126.14,108.95,126.97,0.0
user2,2026-02-27T19:16:37.074487,132.58,36.51,0.2753,301.71,164.67,0.5458,2.2787,12671.74,33.14,229.74,183.18,240.94,191.58,259.69,220.75,216.18,548.94,152.34,190.67,235.44,412.92,450.31,496.8,720.95,324.35,167.03,133.35,92.7,144.36,145.92,87.76,119.98,0.0
user2,2026-02-27T19:17:01.175289,135.03,33.93,0.2513,331.8,174.47,0.5258,2.3102,13935.46,30.14,484.5,202.06,539.14,243.5,355.04,288.74,228.33,772.09,213.55,220.72,254.88,686.55,510.29,561.8,1402.33,843.8,184.12,123.05,101.57,114.06,123.51,88.58,134.21,0.0
user2,2026-02-27T19:17:20.915212,125.03,29.47,0.2357,289.69,196.44,0.6781,1.7162,12746.44,33.89,205.68,142.97,254.73,249.25,212.04,201.99,194.68,296.41,141.46,175.14,191.15,351.08,520.19,421.79,483.88,328.93,179.57,112.28,106.73,113.98,118.49,101.59,119.05,0.0278
user2,2026-02-27T19:17:33.852424,134.91,28.62,0.2121,267.89,116.64,0.4354,2.1483,11251.37,37.33,234.99,208.71,213.06,303.08,269.8,203.38,203.03,305.9,151.96,195.02,211.19,443.7,609.59,513.16,501.17,347.23,169.64,115.07,109.87,141.47,120.4,93.06,134.03,0.0
user2,2026-02-27T19:19:43.126835,116.89,30.63,0.2621,268.38,177.4,0.661,1.3607,11808.76,36.58,187.18,373.38,269.21,411.52,0.0,198.75,177.67,267.5,157.93,193.98,200.21,560.56,611.41,0.0,459.69,350.12,165.34,96.98,79.2,111.88,119.97,90.93,108.99,0.0278
user2,2026-02-27T19:21:41.128644,119.09,28.77,0.2416,299.25,210.92,0.7048,1.9039,12568.38,33.42,210.83,140.87,244.79,222.6,231.07,217.32,199.57,300.9,162.48,210.12,277.01,351.69,459.8,424.5,466.43,328.02,158.51,97.38,109.14,110.02,119.36,93.55,112.56,0.0
user2,2026-02-27T19:22:15.473341,122.99,29.79,0.2422,332.96,261.42,0.7851,1.7059,13984.32,30.03,238.19,383.27,301.43,209.86,213.81,221.98,206.44,256.66,183.09,229.33,195.91,621.47,426.96,393.46,410.35,336.78,151.87,106.48,92.73,121.46,116.27,87.64,116.8,0.0
user2,2026-02-27T19:22:43.091850,127.41,27.84,0.2185,375.16,278.64,0.7427,1.6365,16882.03,25.59,208.66,156.94,191.61,180.16,213.18,192.41,193.82,283.83,97.6,220.65,450.65,365.59,436.75,481.67,473.28,287.06,171.32,114.37,103.16,125.42,128.54,96.13,121.98,0.0278
user2,2026-02-27T19:23:01.094082,126.64,29.96,0.2366,364.15,264.0,0.725,1.8722,15294.24,27.46,198.72,148.32,222.51,205.51,177.86,983.63,197.6,276.48,183.89,167.16,292.4,347.05,440.13,521.47,417.61,325.02,162.56,100.69,101.91,119.6,117.98,97.03,114.48,0.0
user2,2026-02-27T19:23:21.928801,122.94,28.28,0.2301,310.71,230.96,0.7433,1.7797,13049.7,32.18,208.01,351.29,200.45,221.57,204.25,258.35,228.16,231.83,147.86,156.59,264.15,559.31,427.61,392.82,432.14,348.17,152.95,116.38,112.25,101.93,119.92,92.99,103.24,0.0
user2,2026-02-27T19:35:42.631164,120.44,26.07,0.2165,294.26,180.43,0.6132,2.0979,12359.08,33.98,195.82,158.73,186.78,265.64,214.61,201.16,216.91,235.82,162.65,153.88,240.26,354.55,452.06,539.72,375.85,302.68,148.53,109.09,87.02,122.71,141.56,79.68,110.13,0.0
user2,2026-02-27T19:36:00.861755,117.12,30.51,0.2605,327.18,170.11,0.5199,2.5779,13741.76,30.56,231.94,404.31,297.67,167.45,283.62,194.32,368.77,315.86,196.18,216.39,294.54,636.25,539.13,525.22,486.14,366.45,154.24,108.94,98.22,128.29,120.73,79.56,94.08,0.0
user2,2026-02-27T19:36:26.342633,123.52,29.87,0.2418,348.22,235.97,0.6776,1.7919,14625.16,28.72,644.8,178.3,212.07,225.94,257.32,227.84,233.89,291.07,135.47,255.99,333.13,823.1,476.39,548.22,478.53,322.94,143.48,106.58,84.77,106.47,141.84,91.31,111.55,0.0
user2,2026-02-27T19:36:48.358200,115.61,26.17,0.2263,331.69,211.25,0.6369,1.9746,15257.74,29.1,260.49,264.55,215.51,253.24,239.91,167.75,206.56,280.12,151.16,252.5,329.91,525.04,436.54,387.06,465.22,336.26,158.16,112.55,101.67,101.68,142.03,90.11,95.71,0.0541
user2,2026-02-27T19:37:10.942876,118.13,22.21,0.188,310.54,178.1,0.5735,1.7891,13042.66,32.2,431.3,213.28,171.52,255.84,224.65,221.06,219.59,274.16,154.83,235.42,251.85,644.58,558.64,376.77,495.49,376.15,148.71,107.62,128.58,116.01,112.02,92.2,108.14,0.0
user2,2026-02-27T19:37:31.215439,119.69,31.54,0.2635,398.6,324.36,0.8137,1.6568,16741.21,25.09,233.44,209.84,259.04,260.96,211.32,278.71,210.12,261.45,191.56,265.21,527.56,443.28,487.93,472.65,436.81,366.92,150.77,105.33,104.07,128.21,111.55,91.72,116.89,0.0
user2,2026-02-27T19:37:57.503640,109.37,24.69,0.2257,284.06,160.26,0.5642,2.1293,11930.47,35.2,224.49,174.68,221.61,278.8,206.44,234.1,175.07,293.63,131.35,211.23,228.11,399.17,495.98,379.75,465.97,303.69,140.61,104.65,103.83,120.42,108.23,89.18,91.3,0.0
user2,2026-02-27T19:40:08.045525,115.55,25.34,0.2193,313.72,201.35,0.6418,1.8595,13176.26,31.88,226.61,250.86,260.01,191.67,281.7,199.46,196.63,326.22,98.85,205.71,304.51,477.47,409.81,720.67,539.39,312.02,156.59,103.01,86.38,115.58,105.76,82.38,114.16,0.0
user2,2026-02-27T19:40:28.136140,115.75,26.39,0.228,331.39,217.78,0.6572,1.774,15777.02,26.62,197.06,172.49,268.38,191.46,221.85,238.72,192.26,307.83,140.54,226.91,225.69,369.56,386.21,456.84,477.63,310.35,142.5,108.36,93.34,120.29,123.1,101.26,93.08,0.0
user2,2026-02-27T22:42:05.817116,123.61,31.4,0.254,336.94,183.87,0.5457,2.5262,14151.41,29.68,223.01,483.51,208.83,287.2,184.72,236.64,230.23,371.02,201.13,220.06,293.31,706.52,489.18,376.38,568.93,399.05,171.39,126.03,95.91,123.46,116.29,87.41,95.27,0.0
user2,2026-02-27T22:42:22.893362,125.23,33.2,0.2651,325.96,143.6,0.4405,2.7368,13690.49,30.68,261.86,215.79,305.67,253.44,264.95,213.93,229.98,349.4,223.06,255.28,282.88,477.65,501.86,551.13,520.12,393.78,165.72,126.36,118.68,145.72,125.37,93.39,76.88,0.0
